172.21.200.34, 2017-07-17 12:17:43, GET, /admin/default/site, HTTP/1.1, 200, 0.180010
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001105
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001180
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001103
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001233
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001195
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001086
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002470
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001782
172.21.200.34, 2017-07-17 12:17:43, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001102
172.21.200.5, 2017-07-17 12:17:55, GET, /admin/default/site, HTTP/1.1, 303, 0.015690
172.21.200.5, 2017-07-17 12:17:55, GET, /admin/default/index, HTTP/1.1, 200, 0.122073
172.21.200.5, 2017-07-17 12:17:55, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001100
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001401
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001095
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001078
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002235
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003457
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001951
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001317
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001198
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001108
